Country,Weight,Emission 
Russia,6.08,0.513180381
Mongolia,0.05,2.310868705
Kazakhstan,3.14,0.923181405
Uzbekistan,0.08,0.567432849
Turkmenistan,0.01,0.644672553
Iran,2.67,0.631113877
Azerbaijan,0.03,0.391831037
Armenia,0.1,0.128177031
Republic of Georgia,0.24,0.089456936
Turkey,0.04,0.865664547
Lebanon,0.01,0.694755686
Jordan ,0.04,0.643924449
United Arab Emirate,0.08,0.938297499
Kyrgyzstan,0.15,0.091404273
India,0.16,1.333174843
Japan,0.01,0.443356848
South Korea,0.03,0.494658925
Malaysia,3.82,0.74884244
Singapore,0.06,0.57904595
Indonesia,0.01,0.684693977
Australia,0.07,0.991757127
Brunei Darussalam,0.1,0.819498808
Thailand,0.4,0.626742612
Kuwait,0.08,0.637316929
Myanmar,0.01,0.315665174